cluster;instance;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;feature_25;feature_26;feature_27;feature_28;feature_29;feature_30;feature_31;feature_32;feature_33;feature_34;feature_35;feature_36;feature_37
Cluster_0;instance_0;124779,7914;3.1379061140518627;0.0;0.910521388053894;0.0;124747.2556231003,7881.959514170041;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.910521388053894;124683,7818;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.910521388053894;0.910521388053894;0.910521388053894;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.910521388053894
Cluster_1;instance_0;118123,8170;3.1379061140518627;0.0;0.968438982963562;0.0;118090.65501519757,8138.283400809717;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.968438982963562;118027,8074;37607.86586428122;62310.75237157378;1.0;0.0;0.25,Inf,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.968438982963562;0.968438982963562;0.968438982963562;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.968438982963562
Cluster_2;instance_0;159470,27395;1.5689530570259314;0.0;0.9359716176986694;0.01865488290786743;159438.38571428572,27298.493927125506;0;1939036871.2921615;1939036871.2921615;0.4805061467040842;-2.0;49716.78728928925;1.1524537902044309e-05;0.9732813835144043;159374,27298;64838.66314612136;124621.50474314755;1.0;0.8944271909999159;0.25,-0.0,-0.0,1.25;0.0;0.1875,0.015625,0.0,0.0,0.0,0.0,0.0;0.0;0.9359716176986694;0.9732813835144043;0.9546265006065369;31155.37618578689;1.0;2.0;0.02765777078516649;1.1524537902044309e-05;124621.50474314755;380728999.36819947;4.16227766016838;0.03125,nan,0.0,0.15625,0.0,0.0048828125,0.0,0.0,0.0;0.0;0.9546265006065369
Cluster_2;instance_1;153966,15476;3.1379061140518627;0.0;0.9092646837234497;0.0;153933.88905775076,15443.514170040486;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9092646837234497;153870,15379;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9092646837234497;0.9092646837234497;0.9092646837234497;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,nan,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9092646837234497
Cluster_2;instance_2;151662,14835;1.5689530570259314;0.0;0.9474749565124512;0.0025281906127929688;151565.6753799392,14802.704453441294;0;1939036871.2921615;1939036871.2921615;0.4805061467040842;-2.0;49716.78728928925;1.1524537902044309e-05;0.9525313377380371;151566,14739;64838.66314612136;124621.50474314755;1.0;0.8944271909999159;1.25,-0.0,-0.0,0.25;0.0;0.1875,0.015625,0.0,0.0,0.0,0.0,0.0;0.0;0.9474749565124512;0.9525313377380371;0.9500031471252441;31155.37618578689;1.0;2.0;0.0037483010113318928;1.1524537902044309e-05;124621.50474314755;380728999.36819947;4.16227766016838;0.15625,0.0,0.0,0.03125,0.0,0.0048828125,0.0,0.0,0.0;0.0;0.9500031471252441
Cluster_2;instance_3;148973,14322;1.8594999194381405;0.20315856941624325;0.9709628224372864;0.009082680985921559;148856.09756838906,14332.777327935222;0;3150934915.8497624;2908555306.938242;0.6358118994351541;-1.5000000000000007;60890.380254623546;1.7286806853066463e-05;0.9915181994438171;148749,14226;81668.22140705679;140199.192836041;0.75;0.7492686492653552;1.138888888888889,0.4444444444444444,0.4444444444444444,1.138888888888889;0.07692307692307701;0.18981481481481483,0.0054869684499314125,0.002540263171264542,0.00010161052685058158,-5.162349583426383e-08,-7.526705692635671e-06,-1.3234889800848443e-23;0.0;0.9709628224372864;0.9915181994438171;0.9787834286689758;51925.62697631149;0.9230769230769231;3.333333333333334;0.00430909689538301;1.7286806853066463e-05;168681.86028592312;451234369.6215697;5.242640687119285;0.09490740740740741,-0.037037037037037035,-0.00712778110110649,0.09490740740740741,-0.00712778110110649,0.0076356738683127584,0.0,0.0,0.0;0.6531893033038629;0.973869264125824
Cluster_2;instance_4;141037,26113;3.1379061140518627;0.0;0.9082896709442139;0.0;141004.72249240123,26080.955465587045;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9082896709442139;140941,26017;37607.86586428122;62310.75237157378;1.0;0.0;0.25,Inf,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9082896709442139;0.9082896709442139;0.9082896709442139;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9082896709442139
Cluster_2;instance_5;133612,12912;1.5689530570259314;0.0;0.9013707637786865;0.008268564939498901;133516.04680851064,12880.275303643724;0;1939036871.2921615;1939036871.2921615;0.4805061467040842;-2.0;49716.78728928925;1.1524537902044309e-05;0.9179078936576843;133388,12816;64838.66314612136;124621.50474314755;1.0;0.8944271909999159;1.25,-0.0,-0.0,0.25;0.0;0.1875,0.015625,0.0,0.0,0.0,0.0,0.0;0.0;0.9013707637786865;0.9179078936576843;0.9096393287181854;31155.37618578689;1.0;2.0;0.01225899272315871;1.1524537902044309e-05;124621.50474314755;380728999.36819947;4.16227766016838;0.15625,0.0,0.0,0.03125,0.0,0.0048828125,0.0,0.0,0.0;0.0;0.9096393287181854
Cluster_2;instance_6;129644,29189;3.1379061140518627;0.0;0.9009052515029907;0.0;129611.69452887538,29156.842105263157;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9009052515029907;129548,29093;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9009052515029907;0.9009052515029907;0.9009052515029907;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9009052515029907
Cluster_2;instance_7;120171,19320;3.1379061140518627;0.0;0.9482752680778503;0.0;120138.83981762918,19288.372469635626;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9482752680778503;120075,19224;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9482752680778503;0.9482752680778503;0.9482752680778503;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9482752680778503
Cluster_2;instance_8;117355,24062;3.1379061140518627;0.0;0.9583061933517456;0.0;117322.58571428571,24030.364372469634;0;969518435.6460807;969518435.6460807;0.8284271247461902;-3.0;35155.077431065576;5.7622689510221546e-06;0.9583061933517456;117259,23966;37607.86586428122;62310.75237157378;1.0;0.0;0.25,-0.0,-0.0,0.25;0.0;0.125,0.0,0.0,0.0,0.0,0.0,0.0;0.0;0.9583061933517456;0.9583061933517456;0.9583061933517456;31155.37618578689;1.0;2.0;0.0;5.7622689510221546e-06;62310.75237157378;761457998.7363989;2.414213562373095;0.0625,0.0,0.0,0.0625,0.0,0.00390625,0.0,0.0,0.0;0.0;0.9583061933517456
